generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,0.999996,0.997942,9,1.00942,2227.5,2227.5,1,-999
0,gen=0_member=1,1,0.99999,19,1e+30,203.5,203.5,1,-999
0,gen=0_member=2,1,0.999491,14,1e+30,571.5,571.5,1,-999
0,gen=0_member=3,0.987479,0.999995,6,0.749215,2061.5,2061.5,1,-999
0,gen=0_member=4,1,0.999994,11,1.10031,1345.5,1345.5,1,-999
0,gen=0_member=5,0.999488,0.99993,7,0.0946256,2172.5,2172.5,1,-999
0,gen=0_member=6,0.961909,0.999973,5,0.673627,2233.49,2233.49,1,-999
0,gen=0_member=7,0.998818,1,8,1e+30,887.5,887.5,1,-999
0,gen=0_member=8,0.999986,1,11,0.110141,1172.5,1172.5,1,-999
0,gen=0_member=9,0.999997,1,13,1e+30,324.5,324.5,1,-999
0,gen=0_member=10,1,0.999999,15,0.0483769,297.5,297.5,1,-999
0,gen=0_member=11,0.919617,0.894383,3,1.54043,3033.47,3033.47,1,-999
0,gen=0_member=12,1,0.989803,11,1e+30,1832.5,1832.5,1,-999
0,gen=0_member=13,1,0.999997,14,1.13097,282.5,282.5,1,-999
0,gen=0_member=14,0.999896,1,9,0.979806,1033.5,1033.5,1,-999
0,gen=0_member=15,0.767482,0.841228,2,1.72971,3063.45,3063.45,1,-999
0,gen=0_member=16,1,0.999999,15,0.999168,222.5,222.5,1,-999
0,gen=0_member=17,1,1,21,-999,74.5,74.5,1,-999
0,gen=0_member=18,0.987287,0.00797594,1,1e+30,3027.37,3027.37,1,-999
0,gen=0_member=19,0.112516,0.994248,1,1e+30,2982.36,2982.36,1,-999
0,gen=0_member=20,0.992668,0.999988,7,0.90921,2137.5,2137.5,1,-999
0,gen=0_member=21,0.999998,0.998926,10,0.96177,2075.5,2075.5,1,-999
0,gen=0_member=22,1,1,15,0.0548001,622.5,622.5,1,-999
0,gen=0_member=23,1,1,22,-999,0.5,0.5,1,-999
0,gen=0_member=24,1,0.978231,10,1e+30,1897.49,1897.49,1,-999
0,gen=0_member=25,0.949181,0.316176,2,1.35812,3087.41,3087.41,1,-999
0,gen=0_member=26,1,0.999764,15,1e+30,395.5,395.5,1,-999
0,gen=0_member=27,0.999983,0.999621,9,0.0691706,2196.5,2196.5,1,-999
0,gen=0_member=28,0.999866,1,11,1e+30,378.5,378.5,1,-999
0,gen=0_member=29,0.586731,0.999106,2,1e+30,2839.42,2839.42,1,-999
0,gen=0_member=30,1,0.999659,13,0.488057,571.5,571.5,1,-999
0,gen=0_member=31,0.96245,0.999996,6,1e+30,1909.49,1909.49,1,-999
0,gen=0_member=32,1,0.99547,12,1e+30,1070.5,1070.5,1,-999
0,gen=0_member=33,1,1,19,1e+30,0.5,0.5,1,-999
0,gen=0_member=34,0.894407,0.306063,1,0.785757,3109.41,3109.41,1,-999
0,gen=0_member=35,0.998499,0.474289,3,1e+30,2909.43,2909.43,1,-999
0,gen=0_member=36,0.745688,0.510552,1,0.984861,3115.43,3115.43,1,-999
0,gen=0_member=37,1,0.999946,17,1e+30,309.5,309.5,1,-999
0,gen=0_member=38,1,1,17,1.66583,217.5,217.5,1,-999
0,gen=0_member=39,0.233688,0.895135,1,0.54055,3060.37,3060.37,1,-999
0,gen=0_member=40,0.999932,0.700698,5,1e+30,2529.44,2529.44,1,-999
0,gen=0_member=41,1,1,17,0.535018,153.5,153.5,1,-999
0,gen=0_member=42,1,1,16,2,493.5,493.5,1,-999
0,gen=0_member=43,0.999567,1,10,1e+30,530.5,530.5,1,-999
0,gen=0_member=44,0.999851,1,8,2,1365.5,1365.5,1,-999
0,gen=0_member=45,0.991988,0.999998,7,1e+30,1832.5,1832.5,1,-999
0,gen=0_member=46,0.896242,0.999971,4,0.567658,2260.48,2260.48,1,-999
0,gen=0_member=47,0.999979,0.999896,9,0.107923,2019.5,2019.5,1,-999
0,gen=0_member=48,0.99794,0.983129,5,1.07752,2819.5,2819.5,1,-999
0,gen=0_member=49,0.99075,0.6993,3,1.12002,2975.44,2975.44,1,-999
0,gen=0_member=50,0.146595,0.967403,1,0.239011,3036.36,3036.36,1,-999
0,gen=0_member=51,0.999903,0.997337,7,1.05813,2415.5,2415.5,1,-999
0,gen=0_member=52,1,0.999586,12,0.984195,1005.5,1005.5,1,-999
0,gen=0_member=53,0.999999,1,12,0.937768,486.5,486.5,1,-999
0,gen=0_member=54,1,0.999996,13,1.11143,1141.5,1141.5,1,-999
0,gen=0_member=55,1,0.999683,13,0.438842,625.5,625.5,1,-999
0,gen=0_member=56,0.998959,0.995518,6,1.25079,2727.5,2727.5,1,-999
0,gen=0_member=57,0.990544,0.999973,6,0.322984,2181.5,2181.5,1,-999
0,gen=0_member=58,0.94037,0.998267,4,0.62065,2866.49,2866.49,1,-999
