generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=20,0.155598,0.946508,1,1e+30,0.395467,0.395467,1,-999
0,gen=0_member=15,0.99909,0.343666,1,1e+30,0.47221,0.47221,1,-999
0,gen=0_member=6,0.603026,0.664925,1,1.80318,0.409144,0.409144,1,-999
0,gen=0_member=26,0.997754,0.461362,1,1.00246,0.47221,0.47221,1,-999
1,gen=1_member=9_pso,0.0187554,0.986955,1,1e+30,0.374934,0.374934,1,-999
1,gen=1_member=44_pso,0.99881,0.33114,1,1e+30,0.42399,0.42399,1,-999
1,gen=0_member=6,0.603026,0.664925,1,1.16839,0.409144,0.409144,1,-999
1,gen=0_member=20,0.155598,0.946508,1,1.0872,0.395467,0.395467,1,-999
1,gen=1_member=50_pso,0.722473,0.559594,1,0.713158,0.436246,0.436246,1,-999
1,gen=0_member=26,0.997754,0.461362,1,0.630313,0.436246,0.436246,1,-999
2,gen=2_member=75_pso,0.990007,0.045877,1,1e+30,0.491777,0.491777,1,-999
2,gen=1_member=9_pso,0.0187554,0.986955,1,1e+30,0.374934,0.374934,1,-999
2,gen=1_member=50_pso,0.722473,0.559594,1,1.01868,0.392337,0.392337,1,-999
2,gen=0_member=6,0.603026,0.664925,1,0.994794,0.395467,0.395467,1,-999
2,gen=0_member=20,0.155598,0.946508,1,0.943757,0.395467,0.395467,1,-999
2,gen=2_member=90_pso,0.987974,0.0792585,1,0.792078,0.491777,0.491777,1,-999
2,gen=2_member=58_pso,0.987989,0.0714545,1,0.037564,0.493667,0.493667,1,-999
3,gen=2_member=75_pso,0.990007,0.045877,1,1e+30,0.473279,0.473279,1,-999
3,gen=1_member=9_pso,0.0187554,0.986955,1,1e+30,0.424114,0.424114,1,-999
3,gen=1_member=50_pso,0.722473,0.559594,1,0.913412,0.404722,0.404722,1,-999
3,gen=3_member=107_pso,0.964906,0.155972,1,0.78377,0.473279,0.473279,1,-999
3,gen=3_member=133_pso,0.368945,0.913264,1,0.690524,0.433027,0.433027,1,-999
3,gen=3_member=108_pso,0.593385,0.720858,1,0.504897,0.435612,0.435612,1,-999
3,gen=0_member=20,0.155598,0.946508,1,0.378868,0.451279,0.451279,1,-999
3,gen=0_member=6,0.603026,0.664925,1,0.30427,0.427118,0.427118,1,-999
3,gen=3_member=127_pso,0.0661361,0.976406,1,0.183872,0.433027,0.433027,1,-999
3,gen=2_member=90_pso,0.987974,0.0792585,1,0.113575,0.480745,0.480745,1,-999
3,gen=2_member=58_pso,0.987989,0.0714545,1,0.037564,0.479016,0.479016,1,-999
4,gen=4_member=177_pso,0.0138425,0.985791,1,1e+30,0.461457,0.461457,1,-999
4,gen=2_member=75_pso,0.990007,0.045877,1,1e+30,0.473279,0.473279,1,-999
4,gen=4_member=164_pso,0.822332,0.536005,1,0.572836,0.436041,0.436041,1,-999
4,gen=4_member=182_pso,0.962853,0.252631,1,0.550384,0.458104,0.458104,1,-999
4,gen=4_member=161_pso,0.521826,0.728555,1,0.390561,0.452577,0.452577,1,-999
4,gen=1_member=50_pso,0.722473,0.559594,1,0.361823,0.454588,0.454588,1,-999
4,gen=4_member=155_pso,0.343647,0.838878,1,0.353884,0.452577,0.452577,1,-999
4,gen=0_member=6,0.603026,0.664925,1,0.294652,0.463123,0.463123,1,-999
4,gen=4_member=166_pso,0.337018,0.883229,1,0.279078,0.456175,0.456175,1,-999
4,gen=4_member=183_pso,0.173802,0.937649,1,0.253174,0.461457,0.461457,1,-999
4,gen=3_member=107_pso,0.964906,0.155972,1,0.21019,0.476944,0.476944,1,-999
4,gen=3_member=127_pso,0.0661361,0.976406,1,0.187011,0.472941,0.472941,1,-999
4,gen=0_member=20,0.155598,0.946508,1,0.15153,0.465745,0.465745,1,-999
4,gen=4_member=159_pso,0.576317,0.695813,1,0.150879,0.454588,0.454588,1,-999
